PokemonsName	TrainersName	CurrentLevel	primaryType	secondaryType
Venusaur	Cooltrainer♀ Megan	32	3	7
Dragonair	Cooltrainer♂ Mike	37	10	NULL
Charmander	Cooltrainer♂ Nick	26	5	NULL
Bulbasaur	Cooltrainer♂ Nick	26	3	7
Squirtle	Cooltrainer♂ Nick	26	2	NULL
Dratini	Cooltrainer♂ Paul	34	10	NULL
Dratini	Cooltrainer♂ Paul	34	10	NULL
Dratini	Cooltrainer♂ Paul	34	10	NULL
Ivysaur	Cooltrainer♀ Quinn	38	3	7
Starmie	Cooltrainer♀ Quinn	38	2	14
Starmie	Cooltrainer♀ Reena	31	2	14
Starmie	Cooltrainer♀ Reena	31	2	14
Nidoqueen	Cooltrainer♀ Reena	33	7	6
Starmie	Cooltrainer♀ Reena	34	2	14
Starmie	Cooltrainer♀ Reena	34	2	14
Nidoqueen	Cooltrainer♀ Reena	36	7	6
Starmie	Cooltrainer♀ Reena	37	2	14
Starmie	Cooltrainer♀ Reena	37	2	14
Nidoqueen	Cooltrainer♀ Reena	39	7	6
Pidgeot	Cooltrainer♂ Ryan	25	1	18
Electabuzz	Cooltrainer♂ Ryan	27	9	NULL
Flareon	Cooltrainer♂ Sean*	35	5	NULL
Tangela	Cooltrainer♂ Sean*	35	3	NULL
Tauros	Cooltrainer♂ Sean*	35	1	NULL
Manectric	Cooltrainer♂ Albert	43	9	NULL
Muk	Cooltrainer♂ Albert	43	7	NULL
Gloom	Cooltrainer♀ Alexa	35	3	7
Azumarill	Cooltrainer♀ Alexa	35	2	16
Zangoose	Cooltrainer♂ Berke	27	1	NULL
Wingull	Cooltrainer♀ Brooke	18	2	18
Numel	Cooltrainer♀ Brooke	18	5	6
Roselia	Cooltrainer♀ Brooke	18	3	7
Wingull	Cooltrainer♀ Brooke	26	2	18
Numel	Cooltrainer♀ Brooke	26	5	6
Roselia	Cooltrainer♀ Brooke	26	3	7
Pelipper	Cooltrainer♀ Brooke	29	2	18
Numel	Cooltrainer♀ Brooke	29	5	6
Roselia	Cooltrainer♀ Brooke	29	3	7
Pelipper	Cooltrainer♀ Brooke	32	2	18
Numel	Cooltrainer♀ Brooke	32	5	6
Roselia	Cooltrainer♀ Brooke	32	3	7
Pelipper	Cooltrainer♀ Brooke	35	2	18
Camerupt	Cooltrainer♀ Brooke	35	5	6
Roselia	Cooltrainer♀ Brooke	35	3	7
Mawile	Cooltrainer♀ Caroline	43	11	16
Sableye	Cooltrainer♀ Caroline	43	12	15
Swellow	Cooltrainer♂ Clyde	29	1	18
Trapinch	Cooltrainer♂ Clyde	29	6	NULL
Wailmer	Cooltrainer♂ Clyde	29	2	NULL
Magneton	Cooltrainer♂ Clyde	29	9	11
Shiftry	Cooltrainer♂ Clyde	29	3	12
Cacturne	Cooltrainer♂ Edgar	44	3	12
Lairon	Cooltrainer♀ Elaine	45	11	4
Manectric	Cooltrainer♀ Elaine	45	9	NULL
Linoone	Cooltrainer♂ George	27	1	NULL
Roselia	Cooltrainer♀ Hope	44	3	7
Milotic	Cooltrainer♀ Jennifer	31	2	NULL
Zangoose	Cooltrainer♀ Jody	27	1	NULL
Sandslash	Cooltrainer♀ Julie	43	6	NULL
Ninetales	Cooltrainer♀ Julie	43	5	NULL
Mawile	Cooltrainer♂ Leroy	46	11	16
Starmie	Cooltrainer♂ Leroy	46	2	14
Linoone	Cooltrainer♀ Lori	27	1	NULL
Delcatty	Cooltrainer♀ Mary	27	1	NULL
Nosepass	Cooltrainer♀ Michelle	42	4	NULL
Medicham	Cooltrainer♀ Michelle	42	13	14
Ludicolo	Cooltrainer♀ Michelle	42	2	3
Kecleon	Cooltrainer♂ Owen	42	1	NULL
Rhyhorn	Cooltrainer♂ Owen	42	6	4
Tentacruel	Cooltrainer♂ Owen	42	2	7
Linoone	Cooltrainer♂ Parker	27	1	NULL
Delcatty	Cooltrainer♂ Randall	27	1	NULL
Shiftry	Cooltrainer♂ Ruben	34	3	12
Graveler	Cooltrainer♂ Ruben	34	4	6
Loudred	Cooltrainer♂ Ruben	34	1	NULL
Dodrio	Cooltrainer♂ Samuel	42	1	18
Lairon	Cooltrainer♂ Samuel	42	11	4
Kadabra	Cooltrainer♂ Samuel	42	14	NULL
Claydol	Cooltrainer♀ Shannon	44	6	14
Sableye	Cooltrainer♂ Vincent	44	12	15
Medicham	Cooltrainer♂ Vincent	44	13	14
Sharpedo	Cooltrainer♂ Vincent	44	2	12
Swellow	Cooltrainer♂ Vito	42	1	18
Kadabra	Cooltrainer♂ Vito	42	14	NULL
Manectric	Cooltrainer♂ Vito	42	9	NULL
Shiftry	Cooltrainer♂ Vito	42	3	12
Graveler	Cooltrainer♂ Warren	34	4	6
Magcargo	Cooltrainer♂ Warren	34	5	4
Ludicolo	Cooltrainer♂ Warren	34	2	3
Mawile	Cooltrainer♀ Wendy	31	11	16
Roselia	Cooltrainer♀ Wendy	31	3	7
Pelipper	Cooltrainer♀ Wendy	31	2	18
Electrike	Cooltrainer♂ Wilton	18	9	NULL
Wailmer	Cooltrainer♂ Wilton	18	2	NULL
Makuhita	Cooltrainer♂ Wilton	18	13	NULL
Electrike	Cooltrainer♂ Wilton	26	9	NULL
Wailmer	Cooltrainer♂ Wilton	26	2	NULL
Makuhita	Cooltrainer♂ Wilton	26	13	NULL
Manectric	Cooltrainer♂ Wilton	29	9	NULL
Wailmer	Cooltrainer♂ Wilton	29	2	NULL
Makuhita	Cooltrainer♂ Wilton	29	13	NULL
Manectric	Cooltrainer♂ Wilton	32	9	NULL
Wailmer	Cooltrainer♂ Wilton	32	2	NULL
Makuhita	Cooltrainer♂ Wilton	32	13	NULL
Manectric	Cooltrainer♂ Wilton	35	9	NULL
Wailmer	Cooltrainer♂ Wilton	35	2	NULL
Hariyama	Cooltrainer♂ Wilton	35	13	NULL
Kecleon	Cooltrainer♂ Zane	24	1	NULL
Magneton	Cooltrainer♂ Albert	43	9	11
Muk	Cooltrainer♂ Albert	43	7	NULL
Gloom	Cooltrainer♀ Alexa	34	3	7
Azumarill	Cooltrainer♀ Alexa	34	2	16
Wigglytuff	Cooltrainer♀ Alexia	26	1	16
Manectric	Cooltrainer♀ Athena	32	9	NULL
Linoone	Cooltrainer♀ Athena	32	1	NULL
Vigoroth	Cooltrainer♂ Berke	26	1	NULL
Swellow	Cooltrainer♂ Braxton	28	1	18
Trapinch	Cooltrainer♂ Braxton	28	6	NULL
Wailmer	Cooltrainer♂ Braxton	28	2	NULL
Magneton	Cooltrainer♂ Braxton	28	9	11
Shiftry	Cooltrainer♂ Braxton	28	3	12
Wingull	Cooltrainer♀ Brooke	17	2	18
Numel	Cooltrainer♀ Brooke	17	5	6
Roselia	Cooltrainer♀ Brooke	17	3	7
Wingull	Cooltrainer♀ Brooke	26	2	18
Numel	Cooltrainer♀ Brooke	26	5	6
Roselia	Cooltrainer♀ Brooke	26	3	7
Pelipper	Cooltrainer♀ Brooke	29	2	18
Numel	Cooltrainer♀ Brooke	29	5	6
Roselia	Cooltrainer♀ Brooke	29	3	7
Pelipper	Cooltrainer♀ Brooke	32	2	18
Numel	Cooltrainer♀ Brooke	32	5	6
Roselia	Cooltrainer♀ Brooke	32	3	7
Pelipper	Cooltrainer♀ Brooke	34	2	18
Camerupt	Cooltrainer♀ Brooke	34	5	6
Roselia	Cooltrainer♀ Brooke	34	3	7
Manectric	Cooltrainer♀ Carolina	24	9	NULL
Swellow	Cooltrainer♀ Carolina	24	1	18
Manectric	Cooltrainer♀ Carolina	24	9	NULL
Skarmory	Cooltrainer♀ Caroline	43	11	18
Sableye	Cooltrainer♀ Caroline	43	12	15
Loudred	Cooltrainer♀ Cristin	29	1	NULL
Vigoroth	Cooltrainer♀ Cristin	29	1	NULL
Loudred	Cooltrainer♀ Cristin	35	1	NULL
Vigoroth	Cooltrainer♀ Cristin	35	1	NULL
Spinda	Cooltrainer♀ Cristin	37	1	NULL
Loudred	Cooltrainer♀ Cristin	37	1	NULL
Vigoroth	Cooltrainer♀ Cristin	37	1	NULL
Spinda	Cooltrainer♀ Cristin	39	1	NULL
Loudred	Cooltrainer♀ Cristin	39	1	NULL
Vigoroth	Cooltrainer♀ Cristin	39	1	NULL
Spinda	Cooltrainer♀ Cristin	41	1	NULL
Exploud	Cooltrainer♀ Cristin	41	1	NULL
Slaking	Cooltrainer♀ Cristin	41	1	NULL
Pelipper	Cooltrainer♀ Darcy	33	2	18
Camerupt	Cooltrainer♀ Darcy	33	5	6
Claydol	Cooltrainer♀ Dianne	43	6	14
Lanturn	Cooltrainer♀ Dianne	43	2	9
Cacturne	Cooltrainer♂ Edgar	43	3	12
Pelipper	Cooltrainer♂ Edgar	43	2	18
Medicham	Cooltrainer♂ Felix	43	13	14
Claydol	Cooltrainer♂ Felix	43	6	14
Slakoth	Cooltrainer♂ George	26	1	NULL
Kecleon	Cooltrainer♂ Gerald	23	1	NULL
Sableye	Cooltrainer♀ Halle	43	12	15
Absol	Cooltrainer♀ Halle	43	12	NULL
Roselia	Cooltrainer♀ Hope	45	3	7
Absol	Cooltrainer♀ Jazmyn	27	12	NULL
Sableye	Cooltrainer♀ Jennifer	30	12	15
Zangoose	Cooltrainer♀ Jody	26	1	NULL
Kecleon	Cooltrainer♂ Jonathan	33	1	NULL
Loudred	Cooltrainer♂ Jonathan	33	1	NULL
Sandslash	Cooltrainer♀ Julie	42	6	NULL
Ninetales	Cooltrainer♀ Julie	42	5	NULL
Tropius	Cooltrainer♀ Julie	42	3	18
Gardevoir	Cooltrainer♀ Katelynn	43	14	16
Slaking	Cooltrainer♀ Katelynn	43	1	NULL
Lairon	Cooltrainer♀ Keira	45	11	4
Manectric	Cooltrainer♀ Keira	45	9	NULL
Manectric	Cooltrainer♂ Leonel	30	9	NULL
Mawile	Cooltrainer♂ Leroy	46	11	16
Starmie	Cooltrainer♂ Leroy	46	2	14
Manectric	Cooltrainer♂ Marcel	29	9	NULL
Shiftry	Cooltrainer♂ Marcel	29	3	12
Manectric	Cooltrainer♀ Marley	34	9	NULL
Delcatty	Cooltrainer♀ Mary	26	1	NULL
Torkoal	Cooltrainer♀ Michelle	42	5	NULL
Medicham	Cooltrainer♀ Michelle	42	13	14
Ludicolo	Cooltrainer♀ Michelle	42	2	3
Lunatone	Cooltrainer♂ Mitchell	43	4	14
Solrock	Cooltrainer♂ Mitchell	43	4	14
Kecleon	Cooltrainer♂ Owen	42	1	NULL
Graveler	Cooltrainer♂ Owen	42	4	6
Wailord	Cooltrainer♂ Owen	42	2	NULL
Spinda	Cooltrainer♂ Parker	26	1	NULL
Slaking	Cooltrainer♂ Quincy	43	1	NULL
Dusclops	Cooltrainer♂ Quincy	43	15	NULL
Swellow	Cooltrainer♂ Randall	26	1	18
Shiftry	Cooltrainer♂ Ruben	34	3	12
Nosepass	Cooltrainer♂ Ruben	34	4	NULL
Swellow	Cooltrainer♂ Samuel	42	1	18
Mawile	Cooltrainer♂ Samuel	42	11	16
Kadabra	Cooltrainer♂ Samuel	42	14	NULL
Claydol	Cooltrainer♀ Shannon	45	6	14
Sableye	Cooltrainer♂ Vincent	44	12	15
Medicham	Cooltrainer♂ Vincent	44	13	14
Sharpedo	Cooltrainer♂ Vincent	44	2	12
Dodrio	Cooltrainer♂ Vito	42	1	18
Kadabra	Cooltrainer♂ Vito	42	14	NULL
Electrode	Cooltrainer♂ Vito	42	9	NULL
Shiftry	Cooltrainer♂ Vito	42	3	12
Graveler	Cooltrainer♂ Warren	33	4	6
Ludicolo	Cooltrainer♂ Warren	33	2	3
Mawile	Cooltrainer♀ Wendy	29	11	16
Roselia	Cooltrainer♀ Wendy	29	3	7
Pelipper	Cooltrainer♀ Wendy	29	2	18
Electrike	Cooltrainer♂ Wilton	17	9	NULL
Wailmer	Cooltrainer♂ Wilton	17	2	NULL
Makuhita	Cooltrainer♂ Wilton	17	13	NULL
Electrike	Cooltrainer♂ Wilton	26	9	NULL
Wailmer	Cooltrainer♂ Wilton	26	2	NULL
Makuhita	Cooltrainer♂ Wilton	26	13	NULL
Manectric	Cooltrainer♂ Wilton	29	9	NULL
Wailmer	Cooltrainer♂ Wilton	29	2	NULL
Makuhita	Cooltrainer♂ Wilton	29	13	NULL
Manectric	Cooltrainer♂ Wilton	32	9	NULL
Wailmer	Cooltrainer♂ Wilton	32	2	NULL
Makuhita	Cooltrainer♂ Wilton	32	13	NULL
Manectric	Cooltrainer♂ Wilton	35	9	NULL
Wailmer	Cooltrainer♂ Wilton	35	2	NULL
Hariyama	Cooltrainer♂ Wilton	35	13	NULL
Smeargle	A-list Actor Alonso	60	1	NULL
Smeargle	A-list Actor Ricardo	30	1	NULL
Wailord	Ace Duo Elina & Sean	57	2	NULL
Vileplume	Ace Duo Elina & Sean	57	3	7
Armaldo	Ace Duo Jude & Rory	47	4	8
Cradily	Ace Duo Jude & Rory	47	4	3
Armaldo	Ace Duo Jude & Rory	56	4	8
Cradily	Ace Duo Jude & Rory	56	4	3
Carvanha	Ace Duo Pike & Shiel	21	2	12
Numel	Ace Duo Pike & Shiel	21	5	6
Sandslash	Ace Duo Kent and Aimee	46	6	NULL
Ninetales	Ace Duo Kent and Aimee	46	5	NULL
Smeargle	A-list Actor Alonso	60	1	NULL
Smeargle	A-list Actor Ricardo	30	1	NULL
Wailord	Ace Duo Elina & Sean	57	2	NULL
Vileplume	Ace Duo Elina & Sean	57	3	7
Armaldo	Ace Duo Jude & Rory	47	4	8
Cradily	Ace Duo Jude & Rory	47	4	3
Armaldo	Ace Duo Jude & Rory	56	4	8
Cradily	Ace Duo Jude & Rory	56	4	3
Carvanha	Ace Duo Pike & Shiel	21	2	12
Numel	Ace Duo Pike & Shiel	21	5	6
Sandslash	Ace Duo Kent and Aimee	46	6	NULL
Ninetales	Ace Duo Kent and Aimee	46	5	NULL
Weepinbell	Cooltrainer♀	24	3	7
Gloom	Cooltrainer♀	24	3	7
Ivysaur	Cooltrainer♀	24	3	7
Nidorino	Cooltrainer♂	39	7	NULL
Nidoking	Cooltrainer♂	39	7	6
Sandslash	Cooltrainer♂	39	6	NULL
Dugtrio	Cooltrainer♂	39	6	NULL
Rhyhorn	Cooltrainer♂	43	6	4
Persian	Cooltrainer♀	44	1	NULL
Ninetales	Cooltrainer♀	44	5	NULL
Ivysaur	Cooltrainer♂	42	3	7
Wartortle	Cooltrainer♂	42	2	NULL
Charmeleon	Cooltrainer♂	42	5	NULL
Charizard	Cooltrainer♂	42	5	18
Exeggutor	Cooltrainer♂	43	3	14
Cloyster	Cooltrainer♂	43	2	17
Arcanine	Cooltrainer♂	43	5	NULL
Parasect	Cooltrainer♀	43	8	3
Dewgong	Cooltrainer♀	43	2	17
Chansey	Cooltrainer♀	43	1	NULL
Kingler	Cooltrainer♂	43	2	NULL
Tentacruel	Cooltrainer♂	43	2	7
Blastoise	Cooltrainer♂	43	2	NULL
Bellsprout	Cooltrainer♀	43	3	7
Weepinbell	Cooltrainer♀	43	3	7
Victreebel	Cooltrainer♀	43	3	7
Ivysaur	Cooltrainer♂ Aaron	24	3	7
Charmeleon	Cooltrainer♂ Aaron	24	5	NULL
Wartortle	Cooltrainer♂ Aaron	24	2	NULL
Charmeleon	Cooltrainer♂ Allen	27	5	NULL
Rapidash	Cooltrainer♀ Beth	36	5	NULL
Rapidash	Cooltrainer♀ Beth	39	5	NULL
Rapidash	Cooltrainer♀ Beth	43	5	NULL
Magneton	Cooltrainer♂ Blake	33	9	11
Quagsire	Cooltrainer♂ Blake	31	2	6
Exeggcute	Cooltrainer♂ Blake	31	3	14
Sandslash	Cooltrainer♂ Brian	35	6	NULL
Horsea	Cooltrainer♀ CaraC	33	2	NULL
Horsea	Cooltrainer♀ CaraC	33	2	NULL
Horsea	Cooltrainer♀ CaraC	33	2	NULL
Electrode	Cooltrainer♀ Carol*	35	9	NULL
Starmie	Cooltrainer♀ Carol*	35	2	14
Ninetales	Cooltrainer♀ Carol*	35	5	NULL
Horsea	Cooltrainer♂Cody	34	2	NULL
Seadra	Cooltrainer♂Cody	36	2	NULL
Butterfree	Cooltrainer♀ Cybil	25	8	18
Bellossom	Cooltrainer♀ Cybil	25	3	NULL
Dragonair	Cooltrainer♂ DarinC	37	10	NULL
Poliwhirl	Cooltrainer♀ Emma	28	2	NULL
Seadra	Cooltrainer♀ Fran	37	2	NULL
Victreebel	Cooltrainer♂ Gaven	32	3	7
Kingler	Cooltrainer♂ Gaven	32	2	NULL
Flareon	Cooltrainer♂ Gaven	32	5	NULL
Victreebel	Cooltrainer♂ Gaven	35	3	7
Kingler	Cooltrainer♂ Gaven	35	2	NULL
Flareon	Cooltrainer♂ Gaven	35	5	NULL
Victreebel	Cooltrainer♂ Gaven	39	3	7
Kingler	Cooltrainer♂ Gaven	39	2	NULL
Flareon	Cooltrainer♂ Gaven	39	5	NULL
Eevee	Cooltrainer♀ Gwen	26	1	NULL
Vaporeon	Cooltrainer♀ Gwen	22	2	NULL
Jolteon	Cooltrainer♀ Gwen	22	9	NULL
Flareon	Cooltrainer♀ Gwen	22	5	NULL
Goldeen	Cooltrainer♀ Irene	22	2	NULL
Seaking	Cooltrainer♀ Irene	24	2	NULL
Parasect	Cooltrainer♂ Jake	33	8	3
Golduck	Cooltrainer♂ Jake	35	2	NULL
Staryu	Cooltrainer♀ Jenn	24	2	NULL
Starmie	Cooltrainer♀ Jenn	26	2	14
Pikachu	Cooltrainer♀ Joyce	36	9	NULL
Blastoise	Cooltrainer♀ Joyce	32	2	NULL
Shellder	Cooltrainer♀ Kate	26	2	NULL
Cloyster	Cooltrainer♀ Kate	28	2	17
Marill	Cooltrainer♀ Kelly	27	2	16
Wartortle	Cooltrainer♀ Kelly	24	2	NULL
Wartortle	Cooltrainer♀ Kelly	24	2	NULL
Rhyhorn	Cooltrainer♂ Kevin	38	6	4
Charmeleon	Cooltrainer♂ Kevin	35	5	NULL
Wartortle	Cooltrainer♂ Kevin	35	2	NULL
Skiploom	Cooltrainer♀ Lois	25	3	18
Ninetales	Cooltrainer♀ Lois	25	5	NULL
Dratini	Cooltrainer♀ Lola	34	10	NULL
Dragonair	Cooltrainer♀ Lola	36	10	NULL
Bulbasaur	Cooltrainer♀ Megan	32	3	7
Ivysaur	Cooltrainer♀ Megan	32	3	7
Venusaur	Cooltrainer♀ Megan	32	3	7
Dragonair	Cooltrainer♂ Mike	37	10	NULL
Charmander	Cooltrainer♂ Nick	26	5	NULL
Bulbasaur	Cooltrainer♂ Nick	26	3	7
Squirtle	Cooltrainer♂ Nick	26	2	NULL
Dratini	Cooltrainer♂ Paul	34	10	NULL
Dratini	Cooltrainer♂ Paul	34	10	NULL
Dratini	Cooltrainer♂ Paul	34	10	NULL
Ivysaur	Cooltrainer♀ Quinn	38	3	7
Starmie	Cooltrainer♀ Quinn	38	2	14
Starmie	Cooltrainer♀ Reena	31	2	14
Starmie	Cooltrainer♀ Reena	31	2	14
Nidoqueen	Cooltrainer♀ Reena	33	7	6
Starmie	Cooltrainer♀ Reena	34	2	14
Starmie	Cooltrainer♀ Reena	34	2	14
Nidoqueen	Cooltrainer♀ Reena	36	7	6
Starmie	Cooltrainer♀ Reena	37	2	14
Starmie	Cooltrainer♀ Reena	37	2	14
Nidoqueen	Cooltrainer♀ Reena	39	7	6
Pidgeot	Cooltrainer♂ Ryan	25	1	18
Electabuzz	Cooltrainer♂ Ryan	27	9	NULL
Flareon	Cooltrainer♂ Sean*	35	5	NULL
Tangela	Cooltrainer♂ Sean*	35	3	NULL
Tauros	Cooltrainer♂ Sean*	35	1	NULL
Manectric	Cooltrainer♂ Albert	43	9	NULL
Muk	Cooltrainer♂ Albert	43	7	NULL
Gloom	Cooltrainer♀ Alexa	35	3	7
Azumarill	Cooltrainer♀ Alexa	35	2	16
Zangoose	Cooltrainer♂ Berke	27	1	NULL
Wingull	Cooltrainer♀ Brooke	18	2	18
Numel	Cooltrainer♀ Brooke	18	5	6
Roselia	Cooltrainer♀ Brooke	18	3	7
Wingull	Cooltrainer♀ Brooke	26	2	18
Numel	Cooltrainer♀ Brooke	26	5	6
Roselia	Cooltrainer♀ Brooke	26	3	7
Pelipper	Cooltrainer♀ Brooke	29	2	18
Numel	Cooltrainer♀ Brooke	29	5	6
Roselia	Cooltrainer♀ Brooke	29	3	7
Pelipper	Cooltrainer♀ Brooke	32	2	18
Numel	Cooltrainer♀ Brooke	32	5	6
Roselia	Cooltrainer♀ Brooke	32	3	7
Pelipper	Cooltrainer♀ Brooke	35	2	18
Camerupt	Cooltrainer♀ Brooke	35	5	6
Roselia	Cooltrainer♀ Brooke	35	3	7
Mawile	Cooltrainer♀ Caroline	43	11	16
Sableye	Cooltrainer♀ Caroline	43	12	15
Swellow	Cooltrainer♂ Clyde	29	1	18
Trapinch	Cooltrainer♂ Clyde	29	6	NULL
Wailmer	Cooltrainer♂ Clyde	29	2	NULL
Magneton	Cooltrainer♂ Clyde	29	9	11
Shiftry	Cooltrainer♂ Clyde	29	3	12
Cacturne	Cooltrainer♂ Edgar	44	3	12
Lairon	Cooltrainer♀ Elaine	45	11	4
Manectric	Cooltrainer♀ Elaine	45	9	NULL
Linoone	Cooltrainer♂ George	27	1	NULL
Roselia	Cooltrainer♀ Hope	44	3	7
Milotic	Cooltrainer♀ Jennifer	31	2	NULL
Zangoose	Cooltrainer♀ Jody	27	1	NULL
Sandslash	Cooltrainer♀ Julie	43	6	NULL
Ninetales	Cooltrainer♀ Julie	43	5	NULL
Mawile	Cooltrainer♂ Leroy	46	11	16
Starmie	Cooltrainer♂ Leroy	46	2	14
Linoone	Cooltrainer♀ Lori	27	1	NULL
Delcatty	Cooltrainer♀ Mary	27	1	NULL
Nosepass	Cooltrainer♀ Michelle	42	4	NULL
Medicham	Cooltrainer♀ Michelle	42	13	14
Ludicolo	Cooltrainer♀ Michelle	42	2	3
Kecleon	Cooltrainer♂ Owen	42	1	NULL
Rhyhorn	Cooltrainer♂ Owen	42	6	4
Tentacruel	Cooltrainer♂ Owen	42	2	7
Linoone	Cooltrainer♂ Parker	27	1	NULL
Delcatty	Cooltrainer♂ Randall	27	1	NULL
Shiftry	Cooltrainer♂ Ruben	34	3	12
Graveler	Cooltrainer♂ Ruben	34	4	6
Loudred	Cooltrainer♂ Ruben	34	1	NULL
Dodrio	Cooltrainer♂ Samuel	42	1	18
Lairon	Cooltrainer♂ Samuel	42	11	4
Kadabra	Cooltrainer♂ Samuel	42	14	NULL
Claydol	Cooltrainer♀ Shannon	44	6	14
Sableye	Cooltrainer♂ Vincent	44	12	15
Medicham	Cooltrainer♂ Vincent	44	13	14
Sharpedo	Cooltrainer♂ Vincent	44	2	12
Swellow	Cooltrainer♂ Vito	42	1	18
